name,location,rate,approx_cost(for two people),cuisines,votes
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,4.0,1100.0,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",152
Tipsy Bull - The Bar Exchange,Bellandur,4.4,1400.0,"North Indian, Chinese, Continental, Mexican",2232
Salt - Indian Restaurant Bar & Grill,Koramangala 7th Block,4.4,1500.0,"North Indian, Mughlai, Biryani",677
Vaathsalya Millet Cafe,JP Nagar,4.1,500.0,"Healthy Food, South Indian",294
The Marash,Koramangala 5th Block,4.3,250.0,"Turkish, Desserts",65
Hammered,Cunningham Road,4.7,1300.0,"North Indian, Thai, Japanese, Continental, Cafe",4677
Oye Hoye,Kalyan Nagar,3.8,300.0,North Indian,69
Silsila,Koramangala 4th Block,2.7,800.0,North Indian,47
Treatley,Whitefield,3.1,500.0,"North Indian, Fast Food",425
An Egg Story,Kalyan Nagar,4.0,600.0,"Cafe, Continental, American, Italian",241
Haveli,Marathahalli,3.7,700.0,"Biryani, North Indian, Mughlai",61
Kalingas,BTM,3.9,250.0,"Oriya, Fast Food",179
The Second Wife,Hennur,3.7,800.0,"South Indian, Andhra, Biryani",68
One Atria Cafe,Race Course Road,3.8,1600.0,"South Indian, Continental, North Indian",102
NH8,Whitefield,4.1,800.0,Rajasthani,471
Downtown,Residency Road,3.7,1000.0,"North Indian, Continental",293
Sidewalk Cafe & Bar - The Paul Bangalore,Domlur,4.2,1500.0,"European, Italian, Asian",217
Firewood Biryani,Residency Road,3.9,400.0,"Biryani, Kebab, Rolls",456
Rolls Plaza,Marathahalli,3.7,200.0,"Fast Food, Chinese, Rolls",63
The Jade Kitchen,JP Nagar,4.0,600.0,"Chinese, Thai",118
Royal Paris,BTM,3.8,1000.0,"North Indian, Arabian, Chinese",72
The Vape,HSR,4.0,800.0,"Asian, Beverages",603
Cafe Cerrise,Ulsoor,3.8,600.0,"Cafe, Continental, Salad",99
JS Food Court,Kammanahalli,3.8,400.0,"Fast Food, Juices",127
Delhi Restaurant,Whitefield,3.6,350.0,"North Indian, Mughlai, Chinese",196
Rajan's Cafe,Domlur,2.8,300.0,"North Indian, Chinese, Fast Food",79
Tastybites.com,Brookefield,3.7,150.0,"Fast Food, Sandwich, South Indian",82
Lounge 189,HSR,3.8,1300.0,"Continental, Italian",157
Sigree Global Grill,Kalyan Nagar,4.4,1400.0,"North Indian, BBQ",1099
Dice N Dine,Koramangala 5th Block,4.3,900.0,"Continental, Cafe, Italian, Fast Food, Steak",1805
Kanteen The Eatery,Bannerghatta Road,3.9,400.0,North Indian,78
The Lassi Park,Jayanagar,4.1,200.0,"Juices, Desserts",185
Krishna Sagar,BTM,3.9,300.0,"South Indian, North Indian, Chinese",52
Empire Restaurant,JP Nagar,4.1,750.0,"North Indian, Mughlai, South Indian, Chinese",2402
Bubblewrap Waffle Co.,Jayanagar,4.4,400.0,"Desserts, Beverages",356
Nandhana Palace,Kammanahalli,4.1,800.0,"Andhra, Biryani, North Indian, Chinese",737
The Chocolate Heaven,Kalyan Nagar,4.1,700.0,"Desserts, Cafe, Italian, Beverages",399
Dolci Desserts,Cunningham Road,4.3,750.0,"Cafe, Desserts",652
BabaYaga's,Indiranagar,4.1,1500.0,"American, Finger Food",201
MISU,St. Marks Road,4.5,1700.0,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1250
ThrowBack - Pub & Dine,Langford Town,3.9,1000.0,"Italian, North Indian, Continental",234
Chowpatty,Koramangala 1st Block,3.6,300.0,"North Indian, Fast Food, Street Food",95
House Stark Cafe,HSR,3.9,300.0,"Cafe, Desserts, Fast Food, Burger",44
Once Upon A Flame,HSR,4.5,1200.0,"Steak, Continental, Burger, BBQ",2068
Pop Hop,Bellandur,4.0,300.0,"Ice Cream, Desserts",57
The Good Grain,Residency Road,4.1,400.0,"Healthy Food, North Indian, South Indian",54
Mugs N Burgers,Brookefield,4.0,600.0,"Cafe, Burger, Chinese, Fast Food, Beverages",130
SS Bucket Biryani,Kammanahalli,4.0,600.0,"Biryani, North Indian, Chinese",161
C. K. Mega Hot Food,BTM,3.9,600.0,"Chinese, Momos",101
Cafe On The Way,Koramangala 3rd Block,4.0,500.0,Cafe,275
House Of Commons,HSR,4.7,1000.0,"Continental, Asian, North Indian",3573
Oye Hoye,Kalyan Nagar,3.8,300.0,North Indian,69
Trick Or Treat,Brigade Road,4.2,500.0,"Cafe, Burger, Continental, Pizza, Steak",620
Nanda's,Sarjapur Road,3.3,600.0,"North Indian, Chinese, Andhra",215
Juice Junction Food Court,Koramangala 6th Block,3.7,250.0,"Beverages, Juices, Fast Food",70
Ta'aam,Cunningham Road,4.1,750.0,"North Indian, Mughlai, Arabian, Chinese",402
Imperio Restaurant,Kalyan Nagar,4.5,800.0,"North Indian, Mughlai, Biryani, South Indian, Beverages",1228
Jose's Mess,BTM,4.4,300.0,"Kerala, South Indian, Biryani",320
Bombay Adda,Koramangala 7th Block,4.4,1100.0,Modern Indian,2362
Cafe Shuffle,Banashankari,4.2,600.0,"Cafe, Italian, Continental",150
Chung Wah Opus,JP Nagar,3.0,650.0,"Chinese, Thai",59
Mahadii's,Kammanahalli,3.9,600.0,"Andhra, North Indian, Chinese",219
One Atria Cafe,Race Course Road,3.8,1600.0,"South Indian, Continental, North Indian",110
NH8,Indiranagar,4.1,800.0,Rajasthani,2075
The Rasoiya Street,HSR,4.1,800.0,"North Indian, Continental, Mediterranean, Chinese",1324
Jalsa,Banashankari,4.1,800.0,"North Indian, Mughlai, Chinese",775
KFC,Koramangala 6th Block,3.8,450.0,"Burger, Fast Food",480
Srinidhi Sagar,Whitefield,3.7,300.0,"South Indian, Chinese, North Indian",53
Waffle Magic,Koramangala 6th Block,4.1,700.0,"Cafe, Desserts",87
Zhang's - Chinese Restaurant,JP Nagar,4.1,700.0,"Chinese, Momos",588
Buff Buffet Buff,Koramangala 5th Block,4.5,1500.0,"North Indian, Chinese, Continental, Thai, Salad",3130
Jalsa,Banashankari,4.1,800.0,"North Indian, Mughlai, Chinese",775
Java City,Jayanagar,2.6,450.0,"Cafe, American, Pizza",157
Fresh Pressery Cafe,Koramangala 5th Block,4.1,1200.0,"Cafe, Healthy Food, Salad, Beverages, Desserts",141
New Sagar Fast Food,Rajajinagar,3.6,450.0,"South Indian, North Indian",68
Sagar Fast Food,BTM,3.7,300.0,"South Indian, Chinese, North Indian",67
Warm Oven,Domlur,4.3,500.0,"Bakery, Desserts",895
Chai Mania,Marathahalli,2.8,300.0,"Cafe, Tea, Beverages",67
Hotel Emirates,RT Nagar,3.1,500.0,"North Indian, Chinese, Arabian, Kebab",94
Vasudev Adiga's,Church Street,3.4,250.0,"South Indian, North Indian, Chinese, Street Food",60
The Irish House,Bellandur,4.2,1700.0,"European, American",858
The London Shakes,Marathahalli,4.1,300.0,"Fast Food, Beverages",59
Arya Hungry?,Koramangala 7th Block,4.3,450.0,North Indian,280
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Kalyan Nagar,4.1,900.0,"Cafe, Continental, North Indian",274
Cafe Medley,Koramangala 5th Block,4.2,800.0,"Cafe, Continental, Burger",1063
Chung Wah Opus,JP Nagar,3.0,650.0,"Chinese, Thai",57
Oldtown Dilli,Koramangala 4th Block,4.1,750.0,"Mughlai, North Indian, Turkish, Afghan",259
Goli Vada Pav No. 1,Bellandur,3.3,200.0,Street Food,84
Bold,Marathahalli,3.9,1500.0,"Modern Indian, Continental, North Indian",866
Spice Cove - I.V Sanctum,Majestic,3.8,750.0,"North Indian, South Indian, Continental, Asian",88
All Shook Up!,Domlur,3.9,300.0,"Desserts, Beverages",77
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,3.8,1350.0,"North Indian, Afghani",176
Kitchen Katta,Sanjay Nagar,4.1,300.0,Maharashtrian,196
Malnad Military Hotel,Koramangala 7th Block,3.8,500.0,"South Indian, Chinese",40
Bhagini IRIS,Whitefield,3.7,600.0,"North Indian, Chinese",115
Cafe Happytizing,Electronic City,4.1,700.0,"Cafe, Sandwich, Pizza, North Indian, Mexican",351
Smally's Resto Cafe,Koramangala 5th Block,4.2,650.0,"Cafe, Italian, Burger, American, Steak",1706
Nagarjuna,Residency Road,4.3,800.0,"Andhra, Biryani",1773
Kanthari,Kalyan Nagar,3.9,400.0,"North Indian, Kerala, Chinese",93
Hatti Punjab Di,Brigade Road,3.4,450.0,North Indian,8
Punjabi Dhaba,Majestic,3.6,350.0,North Indian,79
Ente Keralam,Ulsoor,4.0,1300.0,"Kerala, Seafood",1104
Kolkata Kitchen,Electronic City,3.2,400.0,"North Indian, Fast Food, Biryani",231
Sherlock's Pub,Kalyan Nagar,3.8,1300.0,"Continental, North Indian, Chinese, Italian",360
Pallavi North Indian Veg Restaurant,JP Nagar,3.7,450.0,"Biryani, North Indian, Chinese",246
Om Made Cafe,Koramangala 5th Block,4.0,1300.0,"Cafe, Continental, European, Juices",2729
New Punjabi Hotel,Indiranagar,3.7,350.0,"North Indian, Chinese",123
Vegan Heat,Koramangala 1st Block,4.1,650.0,"Healthy Food, Salad",314
Nagarjuna,Koramangala 5th Block,4.3,800.0,"Andhra, North Indian, Biryani",2304
Smacznego,Banashankari,4.2,550.0,"Cafe, Mexican, Italian, Momos, Beverages",504
Bonum cibum,HSR,4.5,1200.0,"Lebanese, Turkish",237
Parivar,Jayanagar,3.8,500.0,"North Indian, Chinese",109
Crawl Street,Koramangala 5th Block,4.3,1200.0,"Continental, Finger Food, North Indian, Chinese",2572
Kudla - Hotel Ramanashree,Richmond Road,4.2,1200.0,"South Indian, Andhra, Chinese",354
People Tree Cafe,Jayanagar,3.7,400.0,"Cafe, Fast Food, Beverages",168
Dash In,BTM,3.1,600.0,"North Indian, Chinese, Kerala",53
Bonum cibum,HSR,4.5,1200.0,"Lebanese, Turkish",188
Woodstok,Indiranagar,4.1,1400.0,"Continental, Italian, Steak, American",1052
Dhuaan,Koramangala 5th Block,4.3,800.0,"Cafe, Continental",138
Flavours - Octave Hotel & Spa,Sarjapur Road,3.0,700.0,"North Indian, Chinese",197
Swad Punjab Da,BTM,4.1,150.0,North Indian,133
Rolls On Wheels,Banaswadi,2.8,300.0,"Fast Food, Rolls, Momos",69
Ginger Greens,Kalyan Nagar,3.9,750.0,"Andhra, Chinese, North Indian",300
Cheesiano Pizza,JP Nagar,4.0,700.0,"Pizza, Italian",199
Targaryen's Kitchen,JP Nagar,3.6,600.0,"Chinese, North Indian, Mughlai",43
Scottish Pub,St. Marks Road,3.9,600.0,Finger Food,190
Buff Buffet Buff,Koramangala 5th Block,4.5,1500.0,"North Indian, Chinese, Continental, Thai, Salad",3174
Kaayal,Brookefield,3.2,500.0,"Kerala, Chinese",267
The Brewing Bean,Bellandur,3.7,500.0,Cafe,47
Sidewalk - The Garden Bar,Marathahalli,4.4,1300.0,"North Indian, Continental, Chinese, Thai",3004
Masala Oota,Residency Road,3.6,500.0,"South Indian, Biryani",79
The Biere Club,Lavelle Road,4.3,1700.0,"Continental, BBQ, Finger Food",3484
Caraway Kitchen - Conrad Bengaluru,Ulsoor,4.3,2800.0,"American, Continental, North Indian, South Indian",165
Zero Mile Punjab,HSR,4.1,800.0,"North Indian, Mughlai",1342
Cravy Wings,Bannerghatta Road,4.2,400.0,"American, Burger, Fast Food",289
Kobe Sizzlers,Brigade Road,4.1,1500.0,"American, Continental, Fast Food, Steak",1131
Anupam's Coast II Coast,Church Street,4.2,1400.0,"Seafood, Mangalorean, North Indian, Chinese",856
FreshMenu,Central Bangalore,3.6,450.0,"Continental, Asian, Healthy Food, Burger, Biryani, Pizza, Italian, Fast Food",385
Zee5 Loft,Koramangala 6th Block,4.4,500.0,"Cafe, North Indian, Pizza, Sandwich, Salad",362
RockSalt,St. Marks Road,4.4,1900.0,Modern Indian,484
Dadi's Dum Biryani,BTM,4.1,800.0,"Biryani, North Indian, Mughlai",2723
Dad's Cookhouse,Sarjapur Road,4.0,300.0,"North Indian, Street Food, Chinese, Fast Food",44
Pooja Dosa Camp,Banaswadi,4.0,200.0,South Indian,134
Sugarberryz Cakery,Commercial Street,3.9,1200.0,"Bakery, Desserts",58
Samarkand,Infantry Road,4.1,1600.0,"North Indian, Mughlai",2049
Sharaab Factory,Bellandur,3.9,1500.0,"Biryani, North Indian",406
Dev's Gugababa,BTM,3.5,500.0,"Bengali, North Indian, Chinese",177
Punjabi Food Point,Bellandur,3.3,450.0,"North Indian, Mughlai, Biryani, Chinese",200
Mavalli Tiffin Room (MTR),Basavanagudi,4.5,250.0,South Indian,2896
Shanmukha,Koramangala 5th Block,4.0,800.0,"Biryani, Andhra, North Indian, Chinese",784
Biriyani Zone,HSR,3.9,800.0,"Biryani, North Indian, Chinese, Seafood",670
Maa Bhook Lagi,Koramangala 4th Block,3.9,400.0,North Indian,297
Kokomo,Koramangala 6th Block,4.0,500.0,"Thai, Chinese",195
Blue Terrain - Novotel,Marathahalli,4.2,2000.0,"Spanish, Italian, Mediterranean",515
So-Fat's Dosas,BTM,3.8,200.0,South Indian,43
Taco Bell,Koramangala 6th Block,4.1,600.0,"Mexican, American, Fast Food",1963
Mitran Da Junction,Koramangala 6th Block,4.1,600.0,North Indian,322
Shezan,Cunningham Road,4.1,600.0,"Chinese, Continental, North Indian, Mughlai, Steak",391
Mamma Mexicana,MG Road,2.2,1000.0,Mexican,406
Chai Point,Residency Road,4.0,250.0,"Fast Food, Beverages",134
The Fixx,Koramangala 4th Block,4.3,1200.0,"Continental, South Indian, Italian, North Indian, Chinese",224
Delite Chaat House,Koramangala 6th Block,3.9,300.0,"Street Food, Gujarati",501
Punjabi Times,Bellandur,4.1,1100.0,North Indian,1691
YORK St.,Koramangala 5th Block,4.4,900.0,"Cafe, European, Continental",939
Krispy Kreme,HSR,3.9,300.0,"Desserts, Beverages",150
Soda Bottle Opener Wala,Lavelle Road,4.4,1300.0,"Parsi, North Indian",3651
The Gluten Free Baking Co.,Banaswadi,3.8,400.0,Bakery,41
Shaan-E-Punjab,"ITPL Main Road, Whitefield",2.9,500.0,North Indian,84
Mr. Beans - Home Cafe,Koramangala 3rd Block,4.2,1000.0,"Cafe, Continental, Italian",2714
CTR,Malleshwaram,4.8,150.0,South Indian,4421
Under The Tree,Domlur,3.0,200.0,"Desserts, Juices, Fast Food",64
Tewari Bros Mithai Shoppie,Commercial Street,3.8,300.0,"Fast Food, Mithai",59
Stoked!,Koramangala 4th Block,4.3,850.0,"Cafe, Italian, Pizza",295
THE BEL ST.,New BEL Road,3.9,1100.0,"Cafe, Italian, American, Continental",523
Rangla Punjab,Bellandur,2.9,450.0,"North Indian, Chinese",313
Namdhari's Salad Bar,Indiranagar,3.9,400.0,"Salad, Fast Food",82
Rajdhani Thali Restaurant,Indiranagar,4.0,1000.0,North Indian,1134
Thalassery Restaurant,Kammanahalli,3.9,800.0,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",420
Watson's,Ulsoor,4.2,1300.0,"Finger Food, North Indian",1430
The Chef's Kitchen,Kalyan Nagar,3.8,800.0,"Continental, North Indian, Chinese",311
Moriz Restaurant,Brookefield,2.8,750.0,"Arabian, North Indian, Biryani, Chinese, Seafood",1878
Aramane Donne Biriyani,BTM,3.9,300.0,"Biryani, Fast Food",191
Avanti Indian Barbeque & Grill,Domlur,3.4,1100.0,North Indian,46
The Tao Terraces,MG Road,3.9,2100.0,"Thai, Japanese, Korean, Burmese, Chinese",1940
Malabar Coastal Cuisine,Koramangala 7th Block,3.6,550.0,Kerala,68
99 Caffe,Brookefield,3.6,250.0,"South Indian, North Indian, Chinese",106
Sreeraj Lassi Bar,Shivajinagar,3.9,150.0,"Beverages, Desserts",73
Green Onion,Residency Road,4.3,550.0,Chinese,1187
Rahhams,Shanti Nagar,2.6,700.0,"Mughlai, North Indian, Chinese",307
Sandwichwallas,Basavanagudi,4.0,200.0,Fast Food,133
Alibaba Cafe and Restaurant,Frazer Town,3.9,700.0,"Arabian, Middle Eastern",450
Bistro Oui,Koramangala 5th Block,4.1,1200.0,"Cafe, Continental, Salad, Steak",402
Vanas,Kammanahalli,4.0,400.0,"Mangalorean, Seafood",72
Raj Darbar,Koramangala 6th Block,3.7,800.0,"North Indian, Chinese, Bengali",47
Somilan Steak House,Church Street,4.3,800.0,"North Eastern, Asian, Naga, Steak, Momos",527
Laddoos,Bellandur,2.9,250.0,"North Indian, Street Food, Mithai",163
Ta'aam,Cunningham Road,4.1,750.0,"North Indian, Mughlai, Arabian, Chinese",403
Biggies Burger 'n' More,Koramangala 6th Block,3.8,400.0,"Cafe, Burger, Fast Food",108
Aryan's Kitchen,Whitefield,3.1,500.0,"North Indian, Fast Food",97
Sunehri,Richmond Road,3.8,500.0,South Indian,67
Bhagini IRIS,Whitefield,3.7,600.0,"North Indian, Chinese",115
Paratha Plaza,Indiranagar,3.7,300.0,North Indian,156
Cubbon Pavilion - ITC Gardenia,Richmond Road,4.3,2500.0,"European, Continental, Chinese, Thai",679
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,Richmond Road,4.1,700.0,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",118
The Coffee Bean & Tea Leaf,MG Road,3.8,700.0,Cafe,261
Purani Dilli By Anand Sweets,Koramangala 5th Block,4.1,500.0,"North Indian, Fast Food",237
The Tao Terraces,MG Road,4.0,2100.0,"Thai, Japanese, Korean, Burmese, Chinese",1913
Chaatimes,BTM,3.4,200.0,"Street Food, Fast Food",47
WAFL Co,Koramangala 5th Block,4.2,400.0,"Desserts, Beverages",53
Capri Gastrobar,St. Marks Road,4.3,1200.0,"Mediterranean, Italian, Asian",300
Siddique Kabab Centre,Jayanagar,3.1,550.0,"Mughlai, Kebab, Chinese",68
Udupi Upahara,Koramangala 1st Block,3.6,300.0,"South Indian, North Indian",47
Pizza Hut,New BEL Road,3.6,750.0,"Pizza, Fast Food",436
Bangalore Pub Exchange,MG Road,4.1,1000.0,"Continental, Finger Food, Pizza, North Indian",209
Harry's Bar + Cafe,Koramangala 7th Block,4.2,1400.0,"Asian, American, Mexican",1369
B-hive,Koramangala 1st Block,4.3,1200.0,"Finger Food, North Indian",1550
Cafe Srinidhi,Indiranagar,3.4,200.0,"South Indian, North Indian, Fast Food, Street Food",90
Koshe Kosha,Koramangala 1st Block,4.0,600.0,"Bengali, Seafood",579
4th Tea Block,Jayanagar,4.0,150.0,Cafe,62
Tree Top,Wilson Garden,3.8,1000.0,"Continental, Chinese, North Indian, South Indian",75
Hatch,Malleshwaram,4.2,1200.0,"North Indian, Mangalorean, Seafood",471
Coastal Delight,Indiranagar,4.1,650.0,"Seafood, South Indian, North Indian, Mangalorean, Chinese",198
Cilantro,Koramangala 4th Block,4.0,1500.0,"European, American, Continental, North Indian, Steak",281
Avanti Indian Barbeque & Grill,Domlur,3.4,1100.0,North Indian,46
Bottoms Up Resto Bar,Kalyan Nagar,3.9,1200.0,"Finger Food, Italian, Continental",248
Vembanad - The Paul,Domlur,4.2,1800.0,"Seafood, Kerala",325
Baba Chatkora,Koramangala 6th Block,4.2,1000.0,North Indian,823
Berrylicious Cafe,MG Road,3.7,2500.0,Italian,82
Aalishan Restaurant & Caterer,Koramangala 7th Block,3.5,650.0,"North Indian, Mughlai",889
Nightfork,Koramangala 6th Block,3.7,500.0,"Chinese, Biryani, Pizza, Italian, North Indian",126
Hotel Tom's Restaurant,Richmond Road,4.4,1000.0,"Mangalorean, Seafood, Chinese, North Indian",714
Desi Cream Junction,Jayanagar,3.7,650.0,"Chinese, North Indian, Pizza, Italian",36
On The Nose,BTM,3.8,600.0,"Cafe, Italian, Mexican, Chinese",615
Lakeview Milkbar,Koramangala 8th Block,3.8,500.0,"Desserts, Cafe, Fast Food",291
Tata Cha,Church Street,3.8,500.0,"Cafe, Tea, North Indian",68
Biggies Burger 'n' More,Koramangala 6th Block,3.8,400.0,"Cafe, Burger, Fast Food",108
Agent Jack's Bar,Indiranagar,4.0,1300.0,"Continental, North Indian, Italian",592
Punjabi Kitchen,Whitefield,2.8,500.0,North Indian,68
Dhuaan,Koramangala 5th Block,4.3,800.0,"Cafe, Continental",139
Northwind,Seshadripuram,3.9,650.0,"Biryani, Chinese, North Indian, Mangalorean",83
Vapour Brewpub and Diner,Sarjapur Road,4.6,1400.0,"North Indian, Continental, Italian",2726
Cafe Mozaic - Taj MG Road Bengaluru,MG Road,4.1,2500.0,"North Indian, Italian, South Indian, Continental, Cafe, Salad",563
Wall Street 657,Indiranagar,4.1,1200.0,"Finger Food, Continental",1858
Kullad Cafe,BTM,3.9,200.0,"North Indian, Cafe, Fast Food, Beverages",333
Savitha Family Restaurant,Koramangala 4th Block,4.0,500.0,North Indian,199
Savoury Restaurant,Sarjapur Road,2.9,800.0,"Arabian, North Indian, Chinese, Kerala, Seafood, Biryani",827
McDonald's,Basavanagudi,3.6,500.0,"Burger, Fast Food",276
Faasos,Koramangala 8th Block,4.0,500.0,"North Indian, Biryani, Fast Food",461
Costa Coffee,Koramangala 4th Block,4.0,500.0,"Cafe, Fast Food",236
Black Jack,New BEL Road,3.7,1400.0,"North Indian, Chinese",318
Galito's,Whitefield,4.6,1000.0,"African, Burger, Desserts, Beverages, Fast Food",595
Vinaya Coffee Moments,JP Nagar,3.7,450.0,"Burger, Cafe, Desserts, Sandwich, Italian",46
Khan Saheb Grills and Rolls,Jayanagar,3.9,350.0,"Fast Food, Rolls",135
The Local,Kalyan Nagar,4.2,1400.0,"Finger Food, Continental, Italian, Salad",1196
Udupi Upahara,Koramangala 1st Block,3.6,300.0,"South Indian, North Indian",47
Mani's Dum Biryani,Kalyan Nagar,3.5,750.0,"Biryani, Andhra",122
The Local - Burger Bar,Koramangala 6th Block,3.8,1500.0,"American, Pizza, Burger",152
Tetto,Koramangala 1st Block,3.7,1200.0,Continental,130
Domino's Pizza,MG Road,3.9,800.0,"Pizza, Fast Food",117
Lotus Pavilion - ITC Gardenia,Richmond Road,4.2,3000.0,Continental,175
Wangs Kitchen,HSR,2.4,1000.0,Chinese,438
MealBox Inc.,Marathahalli,4.0,800.0,North Indian,34
Shree Thali,Koramangala 5th Block,4.1,150.0,North Indian,183
Mega Bite,Whitefield,3.6,1100.0,"North Indian, Chinese, South Indian, Continental",54
Rasoi,Banashankari,3.3,300.0,"North Indian, Chinese",128
Matteo Coffea,Indiranagar,4.2,600.0,Cafe,858
99 Pancakes,Church Street,4.1,300.0,"Desserts, Ice Cream",45
Wanderers,Kalyan Nagar,4.0,1500.0,"Continental, North Indian, South Indian, Italian",662
Oogway Express,JP Nagar,3.9,600.0,"Chinese, Thai, Momos",347
Yauatcha,MG Road,4.6,2800.0,"Chinese, Asian, Cantonese, Tea",2372
Madurai Idly Shop,Whitefield,2.9,200.0,South Indian,141
Chef Master,Jayanagar,3.8,300.0,"Kerala, North Indian, Chinese",75
Indy's Comfort Food,Shivajinagar,4.1,300.0,"North Indian, Beverages, Fast Food",399
Altaf's Chillies Restaurant,Frazer Town,3.8,500.0,"North Indian, Chinese",229
1722 Urban Bistro,Koramangala 5th Block,4.1,600.0,"North Indian, Chinese, Fast Food, Biryani",224
